#wavelength    flux
5494.957601    4.588802962e-15
5497.264135    4.507668398e-15
5499.57067    4.555904743e-15
5501.877204    4.567730505e-15
5504.183738    4.560076106e-15
5506.490272    4.496180761e-15
5508.796806    4.467000196e-15
5511.103341    4.546954771e-15
5513.409875    4.608667828e-15
5515.716409    4.626809289e-15
5518.022943    4.592191116e-15
5520.329477    4.520713827e-15
5522.636012    4.51422734e-15
5524.942546    4.481279093e-15
5527.24908    4.495297495e-15
5529.555614    4.458319345e-15
5531.862148    4.414154305e-15
5534.168683    4.484568915e-15
5536.475217    4.534963396e-15
5538.781751    4.444882311e-15
5541.088285    4.483623544e-15
5543.394819    4.575497038e-15
5545.701354    4.47364022e-15
5548.007888    4.424817331e-15
5550.314422    4.497980071e-15
5552.620956    4.402304391e-15
5554.92749    4.396871959e-15
5557.234025    4.559346376e-15
5559.540559    4.461032973e-15
5561.847093    4.44533602e-15
5564.153627    4.496674148e-15
5566.460161    4.428602265e-15
