#wavelength f_lam e_lam telcor
3776.699999999967 5.091555669372677e-13 6.761612149211023e-16 1.0
3777.399999999967 5.097114579456268e-13 6.620924765559475e-16 1.0
3778.0999999999667 5.097882303043174e-13 6.907260692269116e-16 1.0
3778.7999999999665 5.095658203472436e-13 6.872720246301772e-16 1.0
3779.4999999999663 5.077733242419346e-13 6.798134558350309e-16 1.0
3780.199999999966 5.060103417658665e-13 6.84799904235485e-16 1.0
3780.899999999966 5.066708715365038e-13 6.558708788135037e-16 1.0
3781.599999999966 5.079991038870036e-13 6.71691195814732e-16 1.0
3782.2999999999656 5.072142953059715e-13 6.516067555269156e-16 1.0
3782.9999999999654 5.0676006194064e-13 6.750367729116461e-16 1.0
3783.6999999999653 4.992407485301825e-13 6.573059173262952e-16 1.0
3784.399999999965 4.949467699341383e-13 6.787998894354659e-16 1.0
3785.099999999965 4.954418025046197e-13 6.790325869201228e-16 1.0
3785.7999999999647 5.00706233918012e-13 6.473937801539612e-16 1.0
3786.4999999999645 4.982567462168461e-13 6.56630549833337e-16 1.0
3787.1999999999643 4.959078713462374e-13 6.316854544849e-16 1.0
3787.899999999964 4.967797582890414e-13 6.519448685368114e-16 1.0
3788.599999999964 4.958601459803959e-13 6.377164125058337e-16 1.0
3789.299999999964 4.98086064673862e-13 6.666619693103167e-16 1.0
3789.9999999999636 5.000218855868633e-13 6.632988177614042e-16 1.0
3790.6999999999634 4.962150435811075e-13 6.52919848740771e-16 1.0
3791.3999999999633 4.926173281801936e-13 6.562882730382595e-16 1.0
3792.099999999963 4.911770541694586e-13 6.250234164716815e-16 1.0
3792.799999999963 4.914120452444635e-13 6.37993857874727e-16 1.0
3793.4999999999627 4.903368635848111e-13 6.191440883736178e-16 1.0
3794.1999999999625 4.902913023783369e-13 6.425161549269581e-16 1.0
3794.8999999999623 4.922108939486749e-13 6.357621671388028e-16 1.0
3795.599999999962 4.885831953207022e-13 6.550367050375228e-16 1.0
3796.299999999962 4.85935131393576e-13 6.551895638816527e-16 1.0
3796.999999999962 4.902532559104475e-13 6.261605431584789e-16 1.0
3797.6999999999616 4.937014352519317e-13 6.373465149101531e-16 1.0
3798.3999999999614 4.919346980972341e-13 6.149911778752671e-16 1.0
3799.0999999999613 4.930494225787026e-13 6.342679827431811e-16 1.0
3799.799999999961 4.912481018782312e-13 6.219611516234695e-16 1.0
3800.499999999961 4.84279579198269e-13 6.487234232220758e-16 1.0
3801.1999999999607 4.873763977241621e-13 6.469928964965099e-16 1.0
3801.8999999999605 4.888592049401818e-13 6.338529283494888e-16 1.0
3802.5999999999603 4.849094567591733e-13 6.383432696882062e-16 1.0
3803.29999999996 4.842226501332441e-13 6.124582474904458e-16 1.0
3803.99999999996 4.856230413501442e-13 6.291459931644372e-16 1.0
3804.69999999996 4.86953596631419e-13 6.122628782302986e-16 1.0
3805.3999999999596 4.857146967697932e-13 6.3652044822409045e-16 1.0
3806.0999999999594 4.864849144499865e-13 6.295006232310841e-16 1.0
3806.7999999999593 4.914217985136093e-13 6.480101058139169e-16 1.0
3807.499999999959 4.885622054591365e-13 6.47631889365237e-16 1.0
3808.199999999959 4.85609758522672e-13 6.17896125804702e-16 1.0
3808.8999999999587 4.86579972777104e-13 6.292725833883682e-16 1.0
3809.5999999999585 4.85004865219545e-13 6.081656898672776e-16 1.0
3810.2999999999583 4.838045944677135e-13 6.259118741531984e-16 1.0
3810.999999999958 4.843156192299831e-13 6.142023182645335e-16 1.0
3811.699999999958 4.837920836632183e-13 6.420529160666332e-16 1.0
3812.399999999958 4.84520218623417e-13 6.38649123589e-16 1.0
3813.0999999999576 4.88111947994714e-13 6.243984113338858e-16 1.0
3813.7999999999574 4.86851146731828e-13 6.288849949150147e-16 1.0
3814.4999999999573 4.837211900993566e-13 6.043363645075855e-16 1.0
