# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 21ulv
# CHANNEL = B+R
# EXPNUM = 21_214_009
# MJD-OBS = 59428.270110
# DATE-OBS = 2021-08-02T06:29:55
# EXPTIME = 2700.0s
# AIRMASS = 1.22
# RA = 14:15:42.24
# DEC = 26:37:45.04
# wl fl err
# [A] [erg/s/cm2/A]
4887.860000 2.990789e-16 1.082216e-17
4890.860000 2.926041e-16 1.160420e-17
4893.860000 2.881127e-16 1.096140e-17
4896.860000 2.730150e-16 1.014397e-17
4899.860000 2.789991e-16 1.112243e-17
4902.860000 2.678499e-16 1.159350e-17
4905.860000 2.768862e-16 1.082258e-17
4908.860000 2.725330e-16 1.025290e-17
4911.860000 2.642447e-16 1.135734e-17
4914.860000 2.770848e-16 1.178580e-17
4917.860000 2.768935e-16 1.075360e-17
4920.860000 2.742225e-16 1.054988e-17
4923.860000 2.871864e-16 1.198212e-17
4926.860000 2.972609e-16 1.227664e-17
4929.860000 2.976343e-16 1.093024e-17
4932.860000 2.874058e-16 1.097732e-17
4935.860000 2.744576e-16 1.229650e-17
4938.860000 2.868074e-16 1.242713e-17
4941.860000 2.870828e-16 1.114119e-17
4944.860000 2.838479e-16 1.150318e-17
4947.860000 3.012587e-16 1.294045e-17
4950.860000 2.909823e-16 1.257353e-17
4953.860000 3.046089e-16 1.149536e-17
4956.860000 2.968704e-16 1.218212e-17
4959.860000 2.727536e-16 1.310909e-17
4962.860000 2.864195e-16 1.287737e-17
4965.860000 2.939029e-16 1.221812e-17
4968.860000 2.979393e-16 1.340345e-17
4971.860000 2.802208e-16 1.430985e-17
4974.860000 2.844566e-16 1.324702e-17
4977.860000 2.884971e-16 1.278823e-17
4980.860000 2.982693e-16 1.414080e-17
4983.860000 3.021358e-16 1.465744e-17
4986.860000 2.970731e-16 1.356983e-17
4989.860000 2.814475e-16 1.337180e-17
4992.860000 2.886692e-16 1.536788e-17
4995.860000 3.205160e-16 1.597545e-17
4998.860000 3.397760e-16 1.454542e-17
5001.860000 3.454266e-16 1.459901e-17
5004.860000 3.337028e-16 1.674078e-17
5007.860000 3.453002e-16 1.693246e-17
5010.860000 3.550786e-16 1.513684e-17
5013.860000 3.571151e-16 1.574566e-17
5016.860000 3.339192e-16 1.723183e-17
5019.860000 2.935603e-16 1.678976e-17
5022.860000 2.743048e-16 1.504688e-17
5025.860000 2.900778e-16 1.596826e-17
5028.860000 3.002849e-16 1.743671e-17
5031.860000 2.837491e-16 1.656044e-17
5034.860000 2.922920e-16 1.532272e-17
5037.860000 2.513006e-16 1.618573e-17
5040.860000 2.469432e-16 1.714952e-17
5043.860000 2.805748e-16 1.641269e-17
5046.860000 2.459153e-16 1.517797e-17
5049.860000 2.243915e-16 1.639980e-17
5052.860000 2.597034e-16 1.711580e-17
5055.860000 2.368729e-16 1.563604e-17
5058.860000 2.217404e-16 1.479838e-17
5061.860000 1.954628e-16 1.630796e-17
5064.860000 2.081201e-16 1.654995e-17
