# INSTRUMENT_ID: 71
# OBS_GROUP_ID: 65
# UNIT_ID: None
# RA: 213.9260333333333
# DEC: 26.629177777777777
# OBS_DATE: 2010-08-22 00:00:00+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 88212
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
5434.092,1.31918e-15,-9.90000e+01
5437.476,1.31377e-15,-9.90000e+01
5440.859,1.24429e-15,-9.90000e+01
5444.242,1.26094e-15,-9.90000e+01
5447.625,1.24118e-15,-9.90000e+01
5451.008,1.23382e-15,-9.90000e+01
5454.392,1.30713e-15,-9.90000e+01
5457.775,1.25885e-15,-9.90000e+01
5461.158,1.30497e-15,-9.90000e+01
5464.541,1.30498e-15,-9.90000e+01
5467.925,1.30498e-15,-9.90000e+01
5471.308,1.28916e-15,-9.90000e+01
5474.691,1.12914e-15,-9.90000e+01
5478.074,1.20039e-15,-9.90000e+01
5481.457,1.19316e-15,-9.90000e+01
5484.841,1.15440e-15,-9.90000e+01
5488.224,1.12223e-15,-9.90000e+01
5491.607,1.19400e-15,-9.90000e+01
5494.990,1.23704e-15,-9.90000e+01
5498.373,1.18914e-15,-9.90000e+01
5501.757,1.21264e-15,-9.90000e+01
5505.140,1.23985e-15,-9.90000e+01
5508.523,1.21710e-15,-9.90000e+01
5511.906,1.14880e-15,-9.90000e+01
5515.289,1.16710e-15,-9.90000e+01
5518.673,1.25480e-15,-9.90000e+01
5522.056,1.19415e-15,-9.90000e+01
5525.439,1.18202e-15,-9.90000e+01
5528.822,1.30830e-15,-9.90000e+01
5532.206,1.28236e-15,-9.90000e+01
5535.589,1.12465e-15,-9.90000e+01
5538.972,1.15133e-15,-9.90000e+01
5542.355,1.15978e-15,-9.90000e+01
5545.738,1.13516e-15,-9.90000e+01
5549.122,1.17181e-15,-9.90000e+01
5552.505,1.20344e-15,-9.90000e+01
5555.888,1.25667e-15,-9.90000e+01
5559.271,1.24699e-15,-9.90000e+01
5562.654,1.17238e-15,-9.90000e+01
5566.038,1.18889e-15,-9.90000e+01
5569.421,1.17398e-15,-9.90000e+01
5572.804,1.12962e-15,-9.90000e+01
5576.187,1.23639e-15,-9.90000e+01
5579.571,1.21817e-15,-9.90000e+01
5582.954,1.13838e-15,-9.90000e+01
5586.337,1.24883e-15,-9.90000e+01
5589.720,1.14938e-15,-9.90000e+01
5593.103,1.10041e-15,-9.90000e+01
5596.487,1.26677e-15,-9.90000e+01
5599.870,1.23580e-15,-9.90000e+01
5603.253,1.34219e-15,-9.90000e+01
5606.636,1.25175e-15,-9.90000e+01
5610.019,1.17235e-15,-9.90000e+01
5613.403,1.21700e-15,-9.90000e+01
5616.786,1.12085e-15,-9.90000e+01
5620.169,1.06023e-15,-9.90000e+01
5623.552,1.10514e-15,-9.90000e+01
5626.936,1.17922e-15,-9.90000e+01
5630.319,1.15774e-15,-9.90000e+01
5633.702,1.09351e-15,-9.90000e+01
5637.085,1.10335e-15,-9.90000e+01
5640.468,1.11381e-15,-9.90000e+01
5643.852,1.00887e-15,-9.90000e+01
5647.235,1.22115e-15,-9.90000e+01
5650.618,1.34566e-15,-9.90000e+01
5654.001,1.25877e-15,-9.90000e+01
5657.384,1.17605e-15,-9.90000e+01
5660.768,1.17687e-15,-9.90000e+01
5664.151,1.18936e-15,-9.90000e+01
5667.534,1.18439e-15,-9.90000e+01
5670.917,1.22047e-15,-9.90000e+01
5674.301,1.16740e-15,-9.90000e+01
5677.684,1.09198e-15,-9.90000e+01
5681.067,1.13375e-15,-9.90000e+01
5684.450,1.13846e-15,-9.90000e+01
5687.833,1.11016e-15,-9.90000e+01
5691.217,1.09984e-15,-9.90000e+01
5694.600,1.07705e-15,-9.90000e+01
5697.983,1.19059e-15,-9.90000e+01
5701.366,1.10405e-15,-9.90000e+01
5704.749,9.58935e-16,-9.90000e+01
5708.133,1.12153e-15,-9.90000e+01
5711.516,1.20564e-15,-9.90000e+01
5714.899,1.12547e-15,-9.90000e+01
5718.282,1.16175e-15,-9.90000e+01
5721.666,1.18018e-15,-9.90000e+01
5725.049,1.22299e-15,-9.90000e+01
5728.432,1.13254e-15,-9.90000e+01
5731.815,1.08924e-15,-9.90000e+01
