#WAVE FLUX ERR BGFLUX
7205.839 2.1016505E-16 4.221521E-18 9.6332415E-17
7210.053 2.1766564E-16 4.2987534E-18 9.810273E-17
7214.267 2.094766E-16 4.291399E-18 1.009475E-16
7218.4814 2.1053787E-16 4.311624E-18 1.0192006E-16
7222.696 2.0048392E-16 4.274694E-18 1.0618298E-16
7226.9097 2.0112496E-16 4.3920027E-18 1.2849592E-16
7231.124 2.0077377E-16 4.6501025E-18 1.7874109E-16
7235.3384 2.002924E-16 4.898905E-18 2.290539E-16
7239.5522 1.9640648E-16 4.947204E-18 2.4342388E-16
7243.7666 2.1069422E-16 4.8369804E-18 2.0784034E-16
7247.981 2.1095737E-16 4.5737194E-18 1.5700255E-16
7252.1953 2.0610776E-16 4.3621647E-18 1.2252727E-16
7256.409 2.1085449E-16 4.337231E-18 1.1301222E-16
7260.6235 2.0530771E-16 4.341879E-18 1.1851821E-16
7264.838 2.1799052E-16 4.706182E-18 1.7229807E-16
7269.052 2.1823746E-16 4.9214992E-18 2.1374985E-16
7273.266 2.2028435E-16 5.026093E-18 2.328896E-16
7277.4805 2.2869728E-16 5.0609015E-18 2.310075E-16
7281.695 2.2412934E-16 4.7138517E-18 1.6640878E-16
7285.9087 2.1863412E-16 4.579266E-18 1.4539187E-16
7290.123 2.3279877E-16 4.5374157E-18 1.233691E-16
7294.3374 2.316161E-16 4.5829177E-18 1.3252054E-16
7298.5513 2.4017632E-16 4.6261718E-18 1.3134426E-16
7302.7656 2.3203594E-16 4.697937E-18 1.5140936E-16
7306.98 2.4183264E-16 4.9501093E-18 1.89716E-16
7311.1943 2.413527E-16 4.950657E-18 1.8917925E-16
7315.408 2.4908097E-16 4.9973815E-18 1.888788E-16
7319.6226 2.6154575E-16 4.992406E-18 1.7388022E-16
7323.837 2.548345E-16 4.8254962E-18 1.4553569E-16
7328.051 2.6024637E-16 4.9760237E-18 1.6792447E-16
7332.265 2.6370346E-16 5.225087E-18 2.1398568E-16
7336.4795 2.7608742E-16 5.2510898E-18 2.0600818E-16
7340.6934 2.7273664E-16 5.212446E-18 2.0063348E-16
7344.9077 2.7026217E-16 5.0017047E-18 1.6003015E-16
7349.122 2.7184657E-16 4.8816093E-18 1.344533E-16
7353.3364 2.633737E-16 4.8792485E-18 1.4240371E-16
7357.5503 2.7302368E-16 5.0731533E-18 1.7138162E-16
7361.7646 2.8390924E-16 5.2146446E-18 1.8849187E-16
7365.979 2.8759445E-16 5.163164E-18 1.7385325E-16
7370.193 2.8804123E-16 5.1345144E-18 1.6649474E-16
7374.407 2.9212107E-16 4.952958E-18 1.253056E-16
7378.6216 2.811279E-16 4.8178423E-18 1.09744355E-16
7382.836 2.8762653E-16 4.921698E-18 1.2255865E-16
7387.05 2.843687E-16 4.9541803E-18 1.3208591E-16
7391.264 2.9572747E-16 5.0969045E-18 1.4830659E-16
7395.4785 2.9751791E-16 5.1532653E-18 1.5724186E-16
7399.6924 2.9605895E-16 5.1246184E-18 1.5252716E-16
7403.9067 3.024311E-16 5.0763255E-18 1.3615561E-16
7408.121 3.0292445E-16 4.952199E-18 1.1028045E-16
7412.3354 2.9829456E-16 4.90058E-18 1.04743744E-16
7416.5493 2.97398E-16 4.907847E-18 1.06789E-16
7420.7637 2.9799874E-16 4.9165113E-18 1.06525424E-16
